,edition_code,edition,year,city,country_code,timeline
0,1,I,1896,Athina,GRE,6 – 13 April
1,2,II,1900,Paris,FRA,14 May – 28 October
2,3,III,1904,St. Louis,USA, 1 July – 23 November
3,5,IV,1908,London,GBR,27 April – 31 October
4,6,V,1912,Stockholm,SWE, 5 May – 27 July
5,50,VI,1916,Berlin,GER,—
6,7,VII,1920,Antwerpen,BEL,23 April – 12 September
7,8,VIII,1924,Paris,FRA, 4 May – 27 July
8,9,IX,1928,Amsterdam,NED,17 May – 12 August
9,10,X,1932,Los Angeles,USA,30 July – 14 August
10,11,XI,1936,Berlin,GER,2 – 16 August
11,51,XII,1940,Helsinki,FIN,—
12,52,XIII,1944,London,GBR,—
13,12,XIV,1948,London,GBR,26 July – 14 August
14,13,XV,1952,Helsinki,FIN,14 July –  3 August
15,14,XVI,1956,Melbourne,AUS,22 November –  8 December
16,15,XVII,1960,Roma,ITA,25 August – 11 September
17,16,XVIII,1964,Tokyo,JPN,11 – 24 October
18,17,XIX,1968,Ciudad de México,MEX,12 – 27 October
19,18,XX,1972,München,FRG,26 August – 11 September
20,19,XXI,1976,Montréal,CAN,18 July –  1 August
21,20,XXII,1980,Moskva,URS,20 July –  3 August
22,21,XXIII,1984,Los Angeles,USA, 6 July – 12 August
23,22,XXIV,1988,Seoul,KOR,17 September –  2 October
24,23,XXV,1992,Barcelona,ESP,24 July –  9 August
25,24,XXVI,1996,Atlanta,USA,20 July –  4 August
26,25,XXVII,2000,Sydney,AUS,13 September –  1 October
27,26,XXVIII,2004,Athina,GRE,11 – 29 August
28,53,XXIX,2008,Beijing,CHN,6 – 24 August
29,54,XXX,2012,London,GBR,25 July – 12 August
30,59,XXXI,2016,Rio de Janeiro,BRA,3 – 21 August
31,61,XXXII,2020,Tokyo,JPN,21 July –  8 August 2021
32,63,XXXIII,2024,Paris,FRA,—
33,64,XXXIV,2028,Los Angeles,USA,—
34,372,XXXV,2032,Brisbane,AUS,—
