Year,Host City,Game Type,Broadcast Revenue
1960,Palisades Tahoe (formerly Squaw Valley),Winter,$100K
1960,Rome,Summer,$1.2M
1964,Innsbruck,Winter,$900K
1964,Tokyo,Summer,$1.6M
1968,Grenoble,Winter,$2.6M
1968,Mexico City,Summer,$9.8M
1972,Sapporo,Winter,$8.5M
1972,Munich,Summer,$17.8M
1976,Innsbruck,Winter,$11.6M
1976,Montreal,Summer,$34.9M
1980,Lake Placid,Winter,$20.7M
1980,Moscow,Summer,$88M
1984,Sarajevo,Winter,$102.7M
1984,Los Angeles,Summer,$286.9M
1988,Calgary,Winter,$324.9M
1988,Seoul,Summer,$402.6M
1992,Albertville,Winter,$291.9M
1992,Barcelona,Summer,$636.1M
1994,Lillehammer,Winter,$352.9M
1996,Atlanta,Summer,$898.3M
1998,Nagano,Winter,$513.5M
2000,Sydney,Summer,$1.3B
2002,Salt Lake City,Winter,$738M
2004,Athens,Summer,$1.5B
2006,Turin,Winter,$831M
2008,Beijing,Summer,$1.7B
2010,Vancouver,Winter,$1.3B
2012,London,Summer,$2.6B
2014,Sochi,Winter,$1.3B
2016,Rio de Janeiro,Summer,$2.9B
2018,Pyeongchang,Winter,$1.4B
