Year,Game,City,Country,Cost,Revenue,ProfitorLoss
1948,Summer,London,UK,"30,46,752",N/A,N/A
1956,Summer,Melbourne,Australia,"86,40,000",N/A,N/A
1964,Summer,Tokyo,Japan,"7,20,00,000",N/A,N/A
1968,Summer,Mexico City,Mexico,"17,60,00,000",N/A,N/A
1976,Summer,Montreal,Canada,"1,25,00,00,000","35,00,00,000","-90,00,00,000"
1980,Winter,Lake Placid,US,"16,90,00,000","16,05,00,000","-85,00,000"
1980,Summer,Moscow,Soviet Union,"1,35,00,00,000","1,23,10,00,000","-11,90,00,000"
1984,Winter,Sarajevo,Yugoslavia,"11,09,00,000","12,09,00,000","1,00,00,000"
1984,Summer,Los Angeles,US,"70,00,00,000","95,00,00,000","25,00,00,000"
1988,Winter,Calgary,Canada,"1,00,00,00,000","1,03,20,00,000","3,20,00,000"
1988,Summer,Seoul,South Korea,"4,00,00,00,000","4,30,00,00,000","30,00,00,000"
1992,Summer,Barcelona,Spain,"9,30,00,00,000","3,00,00,00,000","-6,30,00,00,000"
1992,Winter,Albertville,France,"1,90,00,00,000","1,83,30,00,000","-6,70,00,000"
1994,Winter,Lillehammer,Norway,"1,10,00,00,000","1,20,00,00,000","10,00,00,000"
1996,Summer,Atlanta,US,"1,80,00,00,000","1,81,00,00,000","1,00,00,000"
1998,Winter,Nagano,Japan,"2,30,00,00,000","2,30,00,00,000",0
2000,Summer,Sydney,Australia,"3,00,00,00,000","90,00,00,000","-2,10,00,00,000"
2002,Winter,Salt Lake City,US,"2,30,00,00,000","2,40,10,00,000","10,10,00,000"
2004,Summer,Athens,Greece,"9,00,00,00,000","3,00,00,00,000","6,00,00,00,000"
2006,Winter,Torino,Italy,"4,10,00,00,000","4,09,68,00,000","-32,00,000"
2008,Summer,Beijing,China,"42,00,00,00,000","6,00,00,00,000","-36,00,00,00,000"
2010,Winter,Vancouver,Canada,"6,40,00,00,000","3,80,00,00,000","-2,60,00,00,000"
2012,Summer,London,UK,"14,60,00,00,000","4,00,00,00,000","-10,60,00,00,000"
2014,Winter,Sochi,Russia,"22,00,00,00,000","4,50,00,00,000","-17,50,00,00,000"
2016,Summer,Rio,Brazil,"12,00,00,00,000",N/A,N/A
