Host_Year,Bid_Year,Bid_City,Bid_Country
1928,,St. Moritz,Switzerland
1928,,Davos,Switzerland
1928,,Engelberg,Switzerland
1932,1929,Lake Placid,United States
1932,1929,Bear Mountain,United States
1932,1929,Denver,United States
1932,1929,Duluth,United States
1932,1929,Lake Tahoe,United States
1932,1929,Minneapolis,United States
1932,1929,Montreal,Canada
1932,1929,Oslo,Norway
1932,1929,Yosemite Valley,United States
1936,,Garmisch-Partenkirchen,Germany
1936,,Montreal,Canada
1936,,St. Moritz,Switzerland
1940,1936,Sapporo,Japan
1944,,Cortina d'Ampezzo,Italy
1944,,Montreal,Canada
1944,,Oslo,Norway
1948,,St. Moritz,Switzerland
1948,,Lake Placid,USA
1952,1947,Oslo,Norway
1952,1947,Cortina d'Ampezzo,Italy
1952,1947,Lake Placid,United States
1956,1949,Cortina d'Ampezzo,Italy
1956,1949,Montreal,Canada
1956,1949,Colorado Springs,United States
1956,1949,Lake Placid,United States
1960,1955,Squaw Valley,United States
1960,1955,Innsbruck,Austria
1960,1955,Garmisch-Partenkirchen,West Germany
1960,1955,St. Moritz,Switzerland
1960,1955,Karachi,Pakistan
1964,1959,Innsbruck,Austria
1964,1959,Calgary,Canada
1964,1959,Lahti,Finland
1968,1964,Grenoble,France
1968,1964,Calgary,Canada
1968,1964,Lahti,Finland
1968,1964,Sapporo,Japan
1968,1964,Oslo,Norway
1968,1964,Lake Placid,United States
1972,1966,Sapporo,Japan
1972,1966,Banff,Canada
1972,1966,Lahti,Finland
1972,1966,Salt Lake City,United States
1976,1970,Denver,United States
1976,1970,Sion,Switzerland
1976,1970,Tampere,Finland
1976,1970,Vancouver,Canada
1980,1974,Lake Placid,United States
1984,1978,Sarajevo,Yugoslavia
1984,1978,Sapporo,Japan
1984,1978,Gothenburg,Sweden
1988,1981,Calgary,Canada
1988,1981,Falun,Sweden
1988,1981,Cortina d'Ampezzo,Italy
1992,1986,Albertville,France
1992,1986,Sofia,Bulgaria
1992,1986,Falun,Sweden
1992,1986,Lillehammer,Norway
1992,1986,Cortina d'Ampezzo,Italy
1992,1986,Anchorage,United States
1992,1986,Berchtesgaden,West Germany
1994,1988,Lillehammer,Norway
1994,1988,Östersund,Sweden
1994,1988,Anchorage,United States
1994,1988,Sofia,Bulgaria
1998,1991,Nagano,Japan
1998,1991,Salt Lake City,United States
1998,1991,Östersund,Sweden
1998,1991,Jaca,Spain
1998,1991,Aosta,Italy
2002,1995,Salt Lake City,United States
2002,1995,Östersund,Sweden
2002,1995,Sion,Switzerland
2002,1995,Quebec City,Canada
2002,1995,Graz,Austria
2002,1995,Jaca,Spain
2002,1995,Poprad-Tatry,Slovakia
2002,1995,Sochi,Russia
2002,1995,Tarvisio,Italy
2006,1999,Turin,Italy
2006,1999,Sion,Switzerland
2006,1999,Helsinki,Finland
2006,1999,Klagenfurt,Austria
2006,1999,Poprad-Tatry,Slovakia
2006,1999,Zakopane,Poland
2010,2003,Vancouver,Canada
2010,2003,Pyeongchang,South Korea
2010,2003,Salzburg,Austria
2010,2003,Andorra la Vella,Andorra
2010,2003,Bern,Switzerland
2010,2003,Harbin,China
2010,2003,Jaca,Spain
2010,2003,Sarajevo,Bosnia and Herzegovina
2014,2007,Sochi,Russia
2014,2007,Pyeongchang,South Korea
2014,2007,Salzburg,Austria
2014,2007,Almaty,Kazakhstan
2014,2007,Borjomi,Georgia
2014,2007,Jaca,Spain
2014,2007,Sofia,Bulgaria
2018,2011,Pyeongchang,South Korea
2018,2011,Munich,Germany
2018,2011,Annecy,France
2022,2015,Beijing,China
2022,2015,Almaty,Kazakhstan
2026,2019,Milan-Cortina d'Ampezzo,Italy
2026,2019,Stockholm-Åre,Sweden
2026,2019,Erzurum,Turkey
