,Olympics,Cost,Revenue,Profit or Loss,Year,Type,City,Country
0,"1948 Summer Olympics, London, UK","$3,046,752",N/A,N/A,1948,Summer, London, UK
1,"1956 Summer Olympics, Melbourne, Australia","$8,640,000",N/A,N/A,1956,Summer, Melbourne, Australia
2,"1964 Summer Olympics, Tokyo, Japan","$72,000,000",N/A,N/A,1964,Summer, Tokyo, Japan
3,"1968 Summer Olympics, Mexico City, Mexico","$176,000,000",N/A,N/A,1968,Summer, Mexico City, Mexico
4,"1976 Summer Olympics Montreal, Canada","$1,250,000,000","$350,000,000","-$900,000,000",1976,Summer,Montreal, Canada
5,"1980 Winter Olympics, Lake Placid, US","$169,000,000","$160,500,000","-$8,500,000",1980,Winter, Lake Placid, US
6,"1980 Summer Olympics, Moscow, Soviet Union","$1,350,000,000","$1,231,000,000","-$119,000,000",1980,Summer, Moscow, Soviet Union
7,"1984 Winter Olympics, Sarajevo, Yugoslavia","$110,900,000","$120,900,000","$10,000,000",1984,Winter, Sarajevo, Yugoslavia
8,"1984 Summer Olympics, Los Angeles, US","$700,000,000","$950,000,000","$250,000,000",1984,Summer, Los Angeles, US
9,"1988 Winter Olympics, Calgary, Canada","$1,000,000,000","$1,032,000,000","$32,000,000",1988,Winter, Calgary, Canada
10,"1988 Summer Olympics, Seoul, South Korea","$4,000,000,000","$4,300,000,000","$300,000,000",1988,Summer, Seoul, South Korea
11,"1992 Summer Olympics, Barcelona, Spain","$9,300,000,000","$3,000,000,000","-$6,300,000,000",1992,Summer, Barcelona, Spain
12,"1992 Winter Olympics, Albertville, France","$1,900,000,000","$1,833,000,000","-$67,000,000",1992,Winter, Albertville, France
13,"1994 Winter Olympics, Lillehammer, Norway","$1,100,000,000","$1,200,000,000","$100,000,000",1994,Winter, Lillehammer, Norway
14,"1996 Summer Olympics, Atlanta, US","$1,800,000,000","$1,810,000,000","$10,000,000",1996,Summer, Atlanta, US
15,"1998 Winter Olympics, Nagano, Japan","$2,300,000,000","$2,300,000,000",$0,1998,Winter, Nagano, Japan
16,"2000 Summer Olympics, Sydney, Australia","$3,000,000,000","$900,000,000","-$2,100,000,000",2000,Summer, Sydney, Australia
17,"2002 Winter Olympics, Salt Lake City, US","$2,300,000,000","$2,401,000,000","$101,000,000",2002,Winter, Salt Lake City, US
18,"2004 Summer Olympics, Athens, Greece","$9,000,000,000","$3,000,000,000","$6,000,000,000",2004,Summer, Athens, Greece
19,"2006 Winter Olympics, Torino, Italy","$4,100,000,000","$4,096,800,000","-$3,200,000",2006,Winter, Torino, Italy
20,"2008 Summer Olympics, Beijing, China","$42,000,000,000","$6,000,000,000","-$36,000,000,000",2008,Summer, Beijing, China
21,"2010 Winter Olympics, Vancouver, Canada","$6,400,000,000","$3,800,000,000","-$2,600,000,000",2010,Winter, Vancouver, Canada
22,"2012 Summer Olympics, London, UK","$14,600,000,000","$4,000,000,000","-$10,600,000,000",2012,Summer, London, UK
23,"2014 Winter Olympics, Sochi, Russia","$22,000,000,000","$4,500,000,000","-$17,500,000,000",2014,Winter, Sochi, Russia
24,"2016 Summer Olympics, Rio, Brazil","$12,000,000,000",N/A,N/A,2016,Summer, Rio, Brazil
